scientificName,family,canonicalName,matchedScientificName,status,matchType,confidence,usageKey,error
Dasylirion wheeleri,Asparagaceae,Dasylirion wheeleri,Dasylirion wheeleri S.Watson ex Rothr.,ACCEPTED,EXACT,99,2772620,
Datura wrightii,Solanaceae,Datura wrightii,Datura wrightii Regel,ACCEPTED,EXACT,100,2928741,
Delphinium trolliifolium,Ranunculaceae,Delphinium trolliifolium,Delphinium trolliifolium A.Gray,ACCEPTED,EXACT,100,3033769,
Dermatophyllum secundiflorum,Fabaceae,Dermatophyllum secundiflorum,Dermatophyllum secundiflorum (Ortega) Gandhi & Reveal,ACCEPTED,EXACT,100,7594161,
Desmodium cuspidatum,Fabaceae,Desmodium cuspidatum,Desmodium cuspidatum (Muhl. ex Willd.) DC. ex G.Don,ACCEPTED,EXACT,99,7648930,
Dicentra canadensis,Papaveraceae,Dicentra canadensis,Dicentra canadensis (Goldie) Walp.,ACCEPTED,EXACT,100,2888554,
Dicentra cucullaria,Papaveraceae,Dicentra cucullaria,Dicentra cucullaria (L.) Bernh.,ACCEPTED,EXACT,100,2888548,
Dicentra formosa,Papaveraceae,Dicentra formosa,Dicentra formosa (Andrews) Walp.,ACCEPTED,EXACT,100,2888553,
Diospyros lotus,Ebenaceae,Diospyros lotus,Diospyros lotus L.,ACCEPTED,EXACT,99,3032980,
Diospyros virginiana,Ebenaceae,Diospyros virginiana,Diospyros virginiana L.,ACCEPTED,EXACT,100,3032986,
Diplacus aurantiacus,Phrymaceae,Diplacus aurantiacus,Diplacus aurantiacus (Curtis) Jeps.,ACCEPTED,EXACT,100,5414628,
Dirca palustris,Thymelaeaceae,Dirca palustris,Dirca palustris L.,ACCEPTED,EXACT,100,3188462,
Dodonaea viscosa,Sapindaceae,Dodonaea viscosa,Dodonaea viscosa (L.) Jacq.,ACCEPTED,EXACT,99,5421144,
Doronicum orientale,Asteraceae,Doronicum orientale,Doronicum orientale Hoffm.,ACCEPTED,EXACT,99,3142967,
Drymocallis glandulosa,Rosaceae,Drymocallis glandulosa,Drymocallis glandulosa (Lindl.) Rydb.,ACCEPTED,EXACT,100,6368623,
Duchesnea indica,Rosaceae,Duchesnea indica,Duchesnea indica (Andrews) Focke,SYNONYM,EXACT,99,3031919,
Echinacea purpurea,Asteraceae,Echinacea purpurea,Echinacea purpurea (L.) Moench,ACCEPTED,EXACT,100,3150935,
Echinocereus engelmannii,Cactaceae,Echinocereus engelmannii,Echinocereus engelmannii (Parry ex Engelm.) Lem.,ACCEPTED,EXACT,99,3084111,
Elephantopus carolinianus,Asteraceae,Elephantopus carolinianus,Elephantopus carolinianus Raeusch.,ACCEPTED,EXACT,99,5395894,
Encelia californica,Asteraceae,Encelia californica,Encelia californica Nutt.,ACCEPTED,EXACT,100,3118771,
Encelia farinosa,Asteraceae,Encelia farinosa,Encelia farinosa A.Gray ex Torr.,ACCEPTED,EXACT,99,3118746,
Enemion biternatum,Ranunculaceae,Enemion biternatum,Enemion biternatum Raf.,ACCEPTED,EXACT,100,3033647,
Ephedra viridis,Ephedraceae,Ephedra viridis,Ephedra viridis Coville,ACCEPTED,EXACT,100,2653272,
Epigaea repens,Ericaceae,Epigaea repens,Epigaea repens L.,ACCEPTED,EXACT,100,2882805,
Epipactis helleborine,Orchidaceae,Epipactis helleborine,Epipactis helleborine (L.) Crantz,ACCEPTED,EXACT,100,8998684,
