machine_learning_annotation_id,datasource,verbatim_date,day_of_year,year,latitude,longitude,coordinate_uncertainty_meters,family,count_family,genus,scientific_name,taxon_rank,trait,observed_image_guid,observed_image_url,observed_metadata_url,certainty,model_uri,prediction_probability,prediction_class,proportion_low_certainty_family,accuracy_excluding_low_certainty_family,accuracy_family
1b9edbc2-8855-4146-878b-9cb1f43552c4,iNaturalist,12/25/15,359,2015,-35.630481,174.53773,26,Asteliaceae,130,Astelia,Astelia hastata,species,fruit,2833055,https://www.inaturalist.org/photos/2833055,https://www.inaturalist.org/observations/40a89729-47ec-467a-b406-cdacb39a7c8a,high,10.57967/hf/2763,0.147705078,Not Detected,0.161538462,0.972477064,0.946153846
10eb014c-0e0a-4ad6-b97a-d33482af9500,iNaturalist,7/29/21,210,2021,39.323475,16.468095,NA,Fabaceae,54776,Cytisus,Cytisus scoparius,species,flower,147799444,https://www.inaturalist.org/photos/147799444,https://www.inaturalist.org/observations/833c3d11-3d56-4665-ada2-496b0846b43a,high,10.57967/hf/2763,0.022583008,Not Detected,0.04414342,0.986821498,0.964564773
81987f57-6b6e-4312-b229-25081aeb7b24,iNaturalist,7/29/21,210,2021,39.323475,16.468095,NA,Fabaceae,54776,Cytisus,Cytisus scoparius,species,fruit,147799444,https://www.inaturalist.org/photos/147799444,https://www.inaturalist.org/observations/833c3d11-3d56-4665-ada2-496b0846b43a,high,10.57967/hf/2763,0.974609375,Detected,0.057835548,0.970043404,0.950836133
f09cdedb-40ae-448e-ba4c-e3fc8c218e56,iNaturalist,4/25/22,115,2022,50.67928749,-1.12137191,73,Apiaceae,11971,Sanicula,Sanicula europaea,species,flower,191186182,https://www.inaturalist.org/photos/191186182,https://www.inaturalist.org/observations/774a5638-5973-49bc-b852-19844afd90dd,low,10.57967/hf/2763,0.833984375,Not Detected,0.134157547,0.968644477,0.895664523
92fc4115-5a32-4edb-91ad-46a82149debf,iNaturalist,4/25/22,115,2022,50.67928749,-1.12137191,73,Apiaceae,11971,Sanicula,Sanicula europaea,species,fruit,191186182,https://www.inaturalist.org/photos/191186182,https://www.inaturalist.org/observations/774a5638-5973-49bc-b852-19844afd90dd,high,10.57967/hf/2763,0.005081177,Not Detected,0.09539721,0.966663589,0.937348592
15d2eb3a-798d-4546-9bdd-161092445d39,iNaturalist,6/9/21,160,2021,51.42404167,-117.0417472,37,Fabaceae,54776,Hedysarum,Hedysarum boreale,species,flower,135728926,https://www.inaturalist.org/photos/135728926,https://www.inaturalist.org/observations/011e0710-ce04-454e-8b72-4ce6ef306684,high,10.57967/hf/2763,0.999023438,Detected,0.04414342,0.986821498,0.964564773
8e65cc79-3efa-4d4b-a6a2-56663d06db8d,iNaturalist,6/9/21,160,2021,51.42404167,-117.0417472,37,Fabaceae,54776,Hedysarum,Hedysarum boreale,species,fruit,135728926,https://www.inaturalist.org/photos/135728926,https://www.inaturalist.org/observations/011e0710-ce04-454e-8b72-4ce6ef306684,high,10.57967/hf/2763,0.001979828,Not Detected,0.057835548,0.970043404,0.950836133
76742bd8-5444-4856-9bfb-c64c972aa52c,iNaturalist,11/29/12,334,2012,-33.98548,20.82322,1,Oxalidaceae,6892,Oxalis,Oxalis incarnata,species,flower,15182604,https://www.inaturalist.org/photos/15182604,https://www.inaturalist.org/observations/447a3c76-c868-4cf1-8a64-c405bb3831b0,high,10.57967/hf/2763,0.998046875,Detected,0.041207197,0.987288136,0.967933836
d7330824-825e-40bb-bd38-f62f8d683982,iNaturalist,11/29/12,334,2012,-33.98548,20.82322,1,Oxalidaceae,6892,Oxalis,Oxalis incarnata,species,fruit,15182604,https://www.inaturalist.org/photos/15182604,https://www.inaturalist.org/observations/447a3c76-c868-4cf1-8a64-c405bb3831b0,high,10.57967/hf/2763,0.004199982,Not Detected,0.026407429,0.988375559,0.977945444
c4945c9c-236a-4d3d-8266-ae69947a3438,iNaturalist,6/12/20,164,2020,21.31657039,-100.5195723,NA,Cactaceae,22076,Mammillaria,Mammillaria gigantea,species,flower,78374165,https://www.inaturalist.org/photos/78374165,https://www.inaturalist.org/observations/2f959c91-ba06-4d15-aa04-3f1d8ab34a55,high,10.57967/hf/2763,0.048492432,Not Detected,0.047245878,0.984025103,0.965165791
